Category,Sub Category,Product,Description,Price,Product Image,Product Url,Configuration
Desktops,Desktops;iMacG5s;DTG5IAG200SD,"iMac G5/2.0Ghz 20"" LCD SuperDrive ALS M9845[DTG5IAG200SD]","iMac with PowerPC 970fx (G5) processor @ 2.0Ghz;Built-in 20in widescreen TFT LCD display (up to 1680 x 1050 resolution);512Mb RAM DDR PC3200 (400Mhz) SDRAM;250Gb Serial-ATA hard drive; 7200rpm;Slot-loading SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;ATI Radeon 9600 with 128MB DDR SDRAM; AGP 8X;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in 802.11a/b/g AirPort Extreme wireless;Built-in Bluetooth 2.0 + EDR (Enhanced Data Rate) module;1x Mini SVGA video out (mirror only) with support for VGA, S-video, and composite video;2x FireWire 400 ports (up to 400 Mbps);3x USB 2.0 ports (up to 480 Mbps);Apple model: M9845;Apple description: iMac G5 20-inch (Ambient Light Sensor);Introduced: May 2005;Discontinued: October 2005",$275.00,http://www.applebits.net/images/products/dt/cd/dtcdim20in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_9&products_id=271&osCsid=ee3h0jfrgto50apvn8cvt2ve51,
Desktops,Desktops;iMacG5s;DTG5IAG210SD,"iMac G5/2.1Ghz 20"" LCD SuperDrive iSight MA064[DTG5IAG210SD]","iMac with PowerPC 970fx (G5) processor @ 2.1Ghz;Built-in 20in widescreen TFT LCD display (up to 1680 x 1050 resolution);512Mb RAM DDR2 PC2-4200 (533Mhz) SDRAM;250Gb Serial-ATA hard drive; 7200rpm;Slot-loading SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;ATI Radeon X600 XT with 128MB DDR SDRAM; PCI-Express;Built-in iSight camera;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in 802.11a/b/g AirPort Extreme wireless;Built-in Bluetooth 2.0 + EDR (Enhanced Data Rate) module;1x Mini SVGA video out (mirror only) with support for VGA, S-video, and composite video;2x FireWire 400 ports (up to 400 Mbps);3x USB 2.0 ports (up to 480 Mbps);Apple model: MA064;Apple description: iMac G5 (20-inch iSight);Introduced: October 2005;Discontinued: January 2006",$295.00,http://www.applebits.net/images/products/dt/cd/dtcdim20in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_9&products_id=264&osCsid=ee3h0jfrgto50apvn8cvt2ve51,
Desktops,Desktops;iMaci3/i5/i7;DTI3IBG306M0,"iMac Core i3/3.06Ghz 21.5"" LCD (M10) A1311 MC508[DTI3IBG306M0]","iMac with Intel Core i3 processor (I3-540) @ 3.06Ghz (1x processor; 2x cores);Built-in 21.5"" LED-backlit glossy widescreen TFT LCD display with IPS (up to 1920 x 1080 resolution);4Gb RAM DDR3 PC3-10600 (1333Mhz) SDRAM SO-DIMM;500Gb Serial-ATA hard drive; 7200rpm;Slot-loading 8x Dual-Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;ATI Radeon HD 5670 with 512MB DDR3 SDRAM;Built-in iSight camera;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in AirPort Extreme wireless 802.11a/b/g/n;Built-in Bluetooth 2.1 + EDR (Enhanced Data Rate) module;1x Secure Digital slot (SDXC);1x Mini DisplayPort;1x FireWire 800 port (up to 800 Mbps);4x USB 2.0 ports (up to 480 Mbps);Apple model: A1311 (EMC 2389), MC508 (iMac11,2);Apple description: iMac (21.5-inch, Mid 2010) [codename ""Clarkdale""];Introduced: July 2010;Discontinued: March 2011",$875.00,http://www.applebits.net/images/products/dt/c2/dtc2imbl215in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_128&products_id=819&osCsid=q0u14lhtk9uauc4660302dqcd1,
Desktops,Desktops;iMaci3/i5/i7;DTI3IBG320M0,"iMac Core i3/3.2Ghz 21.5"" LCD (M10) A1311 MC509[DTI3IBG320M0]","iMac with Intel Core i3 processor (I3-550) @ 3.2Ghz (1x processor; 2x cores);Built-in 21.5"" LED-backlit glossy widescreen TFT LCD display with IPS (up to 1920 x 1080 resolution);4Gb RAM DDR3 PC3-10600 (1333Mhz) SDRAM SO-DIMM;1Tb Serial-ATA hard drive; 7200rpm;Slot-loading 8x Dual-Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;ATI Radeon HD 5670 with 512MB DDR3 SDRAM;Built-in iSight camera;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in AirPort Extreme wireless 802.11a/b/g/n;Built-in Bluetooth 2.1 + EDR (Enhanced Data Rate) module;1x Secure Digital slot (SDXC);1x Mini DisplayPort;1x FireWire 800 port (up to 800 Mbps);4x USB 2.0 ports (up to 480 Mbps);Apple model: A1311 (EMC 2389), MC509 (iMac11,2);Apple description: iMac (21.5-inch, Mid 2010) [codename ""Clarkdale""];Introduced: July 2010;Discontinued: March 2011",$965.00,http://www.applebits.net/images/products/dt/c2/dtc2imbl215in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_128&products_id=776&osCsid=q0u14lhtk9uauc4660302dqcd1,
Desktops,Desktops;iMaci3/i5/i7;DTI3IHG320M0,"iMac Core i3/3.2Ghz 27"" LCD (M10) A1312 Sale rrp$1345[DTI3IHG320M0]","iMac with Intel Core i3 processor (I3-550) @ 3.2Ghz;Built-in 27"" LED-backlit glossy widescreen TFT LCD display with IPS (up to 2560 x 1440 resolution);4Gb RAM DDR3 PC3-10600 (1333Mhz) SDRAM SO-DIMM;1Tb Serial-ATA hard drive; 7200rpm;Slot-loading 8x Dual-Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;ATI Radeon HD 5670 with 512MB DDR3 SDRAM;Built-in iSight camera;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in AirPort Extreme wireless 802.11a/b/g/n;Built-in Bluetooth 2.1 + EDR (Enhanced Data Rate) module;1x Secure Digital slot (SDXC);1x Mini DisplayPort;1x FireWire 800 port (up to 800 Mbps);4x USB 2.0 ports (up to 480 Mbps);Apple model: A1312 (EMC 2390), MC510 (iMac11,3);Apple description: iMac (27-inch, Mid 2010) [codename ""Clarkdale""];Introduced: July 2010;Discontinued: March 2011","$1,015.75",http://www.applebits.net/images/products/dt/c2/dtc2imbl27in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_128&products_id=550&osCsid=q0u14lhtk9uauc4660302dqcd1,
Desktops,Desktops;iMaci3/i5/i7;DTI5IBG250M1,"iMac Core i5/2.5Ghz 21.5"" LCD (M11) A1311 Sale rrp$1395[DTI5IBG250M1]","iMac with Intel Core i5 processor (I5-2400S) @ 2.5Ghz (1x processor; 4x cores);Built-in 21.5"" LED-backlit glossy widescreen TFT LCD display with IPS (up to 1920 x 1080 resolution);4Gb RAM DDR3 PC3-10600 (1333Mhz) SDRAM SO-DIMM;500Gb Serial-ATA hard drive; 7200rpm;Slot-loading 8x Dual-Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;AMD Radeon HD 6750 with 512MB GDDR5 SDRAM;Built-in iSight camera;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in AirPort Extreme wireless 802.11a/b/g/n;Built-in Bluetooth 2.1 + EDR (Enhanced Data Rate) module;1x Secure Digital slot (SDXC);1x Thunderbolt digital video output (support for up to two Thunderbolt displays);1x FireWire 800 port (up to 800 Mbps);4x USB 2.0 ports (up to 480 Mbps);Apple model: A1311 (EMC 2428), MC309 (iMac12,1);Apple description: iMac (21.5-inch, Mid 2011) [codename ""Sandy Bridge""];Introduced: May 2011;Discontinued: October 2012*;The below figures may vary and change according to the Geekbench website:-- Geekbench 2 (64 bit): 7970-- Geekbench 3 (32 bit): 6698-- Geekbench 3 (64 bit): 7237",$973.25,http://www.applebits.net/images/products/dt/c2/dtc2imbl215in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_128&products_id=836&osCsid=q0u14lhtk9uauc4660302dqcd1,
Desktops,Desktops;iMaci3/i5/i7;DTI5IHG266L9,"iMac Core i5/2.66Ghz 27"" LCD (L09) A1312 MB953[DTI5IHG266L9]","iMac with Intel Core i5 processor (I5-750) @ 2.66Ghz;Built-in 27in LED-backlit glossy widescreen TFT LCD display with IPS (up to 2560 x 1440 resolution);4Gb RAM DDR3 PC3-8500 (1066Mhz) SDRAM SO-DIMM;1Tb Serial-ATA hard drive; 7200rpm;Slot-loading 8x Dual-Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;ATI Radeon HD 4850 with 512MB DDR3 SDRAM; PCI Expresss;Built-in iSight camera;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in AirPort Extreme wireless 802.11a/b/g/n;Built-in Bluetooth 2.1 + EDR (Enhanced Data Rate) module;1x Secure Digital slot (SD);1x Mini DisplayPort;1x FireWire 800 port (up to 800 Mbps);4x USB 2.0 ports (up to 480 Mbps);Apple model: A1312 (EMC 2374), MB953, iMac11,1;Apple description: iMac (27-inch, Late 2009) [codename ""Nehalem""];Introduced: October 2009;Discontinued: July 2010","$1,175.00",http://www.applebits.net/images/products/dt/c2/dtc2imbl27in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_128&products_id=551&osCsid=q0u14lhtk9uauc4660302dqcd1,
Desktops,Desktops;iMaci3/i5/i7;DTI5IBG270L2,"iMac Core i5/2.7Ghz 21.5"" (L12) A1318 MD093[DTI5IBG270L2]","iMac with Intel Core i5 processor (I5-3335S) @ 2.7Ghz (1x processor; 4x cores)--> Turbo boost to 3.2Ghz!;Built-in 21.5"" LED-backlit glossy widescreen TFT LCD display with IPS (up to 1920 x 1080 resolution);8Gb RAM DDR3 PC3-12800 (1600Mhz) SDRAM SO-DIMM;1Tb Serial-ATA hard drive; 5400rpm;Slot-loading 8x Dual-Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;NVIDIA GeForce GT 650M with 512MB of dedicated GDDR5 SDRAM;Built-in iSight camera;Built-in stereo speakers, built-in dual microphones, headphone analog/optical digital audio output;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in AirPort Extreme wireless 802.11a/b/g/n (450Mbit);Built-in Bluetooth 4.0 module;1x Secure Digital slot (SDXC);2x Thunderbolt digital video output (support for up to two Thunderbolt displays);4x USB 2.0 ports (up to 480 Mbps);Apple model: A1418 (EMC 2544), MD093 (iMac13,1);Apple description: iMac (21.5-inch, Late 2012) [codename ""Ivy Bridge""];Introduced: October 2012;Discontinued: September 2013*;The below figures may vary and change according to the Geekbench website:-- Geekbench 2 (64 bit): 9145-- Geekbench 3 (32 bit): 7863-- Geekbench 3 (64 bit): 8678","$1,425.00",http://www.applebits.net/images/products/dt/c2/dtc2imbl215in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_128&products_id=843&osCsid=q0u14lhtk9uauc4660302dqcd1,
Desktops,Desktops;iMaci3/i5/i7;DTI5IBG270M1,"iMac Core i5/2.7Ghz 21.5"" (M11) MC812 A1311 Sale rrp$1695[DTI5IBG270M1]","iMac with Intel Core i5 processor (I5-2500S) @ 2.7Ghz (1x processor; 4x cores);Built-in 21.5"" LED-backlit glossy widescreen TFT LCD display with IPS (up to 1920 x 1080 resolution);4Gb RAM DDR3 PC3-10600 (1333Mhz) SDRAM SO-DIMM;1Tb Serial-ATA hard drive; 7200rpm;Slot-loading 8x Dual-Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;AMD Radeon HD 6770 with 512MB GDDR5 SDRAM;Built-in iSight camera;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in AirPort Extreme wireless 802.11a/b/g/n;Built-in Bluetooth 2.1 + EDR (Enhanced Data Rate) module;1x Secure Digital slot (SDXC);1x Thunderbolt digital video output (support for up to two Thunderbolt displays);1x FireWire 800 port (up to 800 Mbps);4x USB 2.0 ports (up to 480 Mbps);Apple model: A1311 (EMC 2428), MC812 (iMac12,1);Apple description: iMac (21.5-inch, Mid 2011) [codename ""Sandy Bridge""];Introduced: May 2011;Discontinued: October 2012*;The below figures may vary and change according to the Geekbench website:-- Geekbench 2 (64 bit): 8647-- Geekbench 3 (32 bit): 7091-- Geekbench 3 (64 bit): 7796","$1,083.75",http://www.applebits.net/images/products/dt/c2/dtc2imbl215in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_128&products_id=837&osCsid=q0u14lhtk9uauc4660302dqcd1,
Desktops,Desktops;iMaci3/i5/i7;DTI5IHG280M0,"iMac Core i5/2.8Ghz 27"" LCD (M10) A1312 MC511[DTI5IHG280M0]","iMac with Intel Core i5 processor (I5-760) @ 2.8Ghz;Built-in 27"" LED-backlit glossy widescreen TFT LCD display with IPS (up to 2560 x 1440 resolution);4Gb RAM DDR3 PC3-10600 (1333Mhz) SDRAM SO-DIMM;1Tb Serial-ATA hard drive; 7200rpm;Slot-loading 8x Dual-Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;ATI Radeon HD 5750 with 1GB DDR5 SDRAM;Built-in iSight camera;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in AirPort Extreme wireless 802.11a/b/g/n;Built-in Bluetooth 2.1 + EDR (Enhanced Data Rate) module;1x Secure Digital slot (SDXC);1x Mini DisplayPort;1x FireWire 800 port (up to 800 Mbps);4x USB 2.0 ports (up to 480 Mbps);Apple model: A1312 (EMC 2390), MC511 (iMac11,3);Apple description: iMac (27-inch, Mid 2010) [codename ""Lynnfield""];Introduced: July 2010;Discontinued: May 2011","$1,475.00",http://www.applebits.net/images/products/dt/c2/dtc2imbl27in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_128&products_id=552&osCsid=q0u14lhtk9uauc4660302dqcd1,
Desktops,Desktops;iMaci3/i5/i7;DTI5IBG360M0,"iMac Core i5/3.6Ghz 21.5"" LCD (M10) A1311 BTO[DTI5IBG360M0]","iMac with Intel Core i5 processor (I3-580) @ 3.6Ghz (1x processor; 2x cores);Built-in 21.5"" LED-backlit glossy widescreen TFT LCD display with IPS (up to 1920 x 1080 resolution);4Gb RAM DDR3 PC3-10600 (1333Mhz) SDRAM SO-DIMM;1Tb Serial-ATA hard drive; 7200rpm;Slot-loading 8x Dual-Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;ATI Radeon HD 5670 with 512MB DDR3 SDRAM;Built-in iSight camera;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in AirPort Extreme wireless 802.11a/b/g/n;Built-in Bluetooth 2.1 + EDR (Enhanced Data Rate) module;1x Secure Digital slot (SDXC);1x Mini DisplayPort;1x FireWire 800 port (up to 800 Mbps);4x USB 2.0 ports (up to 480 Mbps);Apple model: A1311 (EMC 2389), BTO (iMac11,2);Apple description: iMac (21.5-inch, Mid 2010) [codename ""Clarkdale""];Introduced: July 2010;Discontinued: March 2011","$1,055.00",http://www.applebits.net/images/products/dt/c2/dtc2imbl215in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_128&products_id=835&osCsid=q0u14lhtk9uauc4660302dqcd1,
Desktops,Desktops;iMaci3/i5/i7;DTI7IBG280M1,"iMac Core i7/2.8Ghz 21.5"" LCD (M11) A1311 BTO[DTI7IBG280M1]","iMac with Intel Core i5 processor (I7-2600S) @ 2.8Ghz (1x processor; 4x cores);Built-in 21.5"" LED-backlit glossy widescreen TFT LCD display with IPS (up to 1920 x 1080 resolution);4Gb RAM DDR3 PC3-10600 (1333Mhz) SDRAM SO-DIMM;1Tb Serial-ATA hard drive; 7200rpm;Slot-loading 8x Dual-Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs;AMD Radeon HD 6770 with 512MB GDDR5 SDRAM;Built-in iSight camera;Built-in stereo speakers, built-in microphone, headphone/optical digital audio output, audio line in;Built-in 10/100/1000BASE-T (Gigabit) Ethernet;Built-in AirPort Extreme wireless 802.11a/b/g/n;Built-in Bluetooth 2.1 + EDR (Enhanced Data Rate) module;1x Secure Digital slot (SDXC);1x Thunderbolt digital video output (support for up to two Thunderbolt displays);1x FireWire 800 port (up to 800 Mbps);4x USB 2.0 ports (up to 480 Mbps);Apple model: A1311 (EMC 2428), BTO (iMac12,1);Apple description: iMac (21.5-inch, Mid 2011) [codename ""Sandy Bridge""];Introduced: May 2011;Discontinued: October 2012*;The below figures may vary and change according to the Geekbench website:-- Geekbench 2 (64 bit): 10690-- Geekbench 3 (32 bit): 9132-- Geekbench 3 (64 bit): 10076","$1,495.00",http://www.applebits.net/images/products/dt/c2/dtc2imbl215in.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_128&products_id=849&osCsid=q0u14lhtk9uauc4660302dqcd1,
Desktops,Desktops;MacPros;DTXEM2G2406D,Mac Pro Xeon 6 Core/2.4Ghz Dual (12 cores; M12) A1289 MD771[DTXEM2G2406D],"Intel Xeon E5645 6 Core (6 per processor) with 12 MB of ""fully shared"" L3 cache per processor @ 2.4Ghz per processor x2 = 12 cores total -- also known as a 12 core processor machine or 2x 6 Core machine;Architecture: 64 Bit;12Gb RAM DDR3 PC3-10600 (1333Mhz) ECC SDRAM (128Gb actual maximum);1Tb Serial-ATA hard drive (expansion bays up to 4 hard drives);Tray-loading Dual Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs (expansion bays up to 2 optical drives);ATI Radeon HD 5770 graphics card with 1GB GDDR5 SDRAM; PCI Express 16-lane (1x dual-link DVI; 2x MiniDisplay Port)-- Supports up to 2 displays on the one card;Audio in - 1x 3.5mm analog input jack; 1x optical S/PDIF (Toslink) input;Audio out - 2x 3.5mm analog output jacks; 1x optical S/PDIF (Toslink) output; 1x built-in speaker;2x built-in 10/100/1000BASE-T Gigabit Ethernet;Built-in 802.11a/b/g/n AirPort Extreme wireless;Bluetooth 2.1 + EDR card;2x 4-lane PCIe 2.0 slots; 2x 16-lane PCIe 2.0 slots (PCIe = PCI Express);4x FireWire 800 ports (up to 800 Mbps);5x USB 2.0 ports (up to 480 Mbps);Model ID: A1289 (EMC 2629), MD771 (MacPro5,1);Apple description: Mac Pro (Mid 2012) [codename Westmere];Introduced: June 2012;Discontinued: October 2013*;The below figures may vary and change according to the Geekbench website:-- Geekbench 2 (64 bit): 19887-- Geekbench 3 (32 bit): 20107-- Geekbench 3 (64 bit): 22053","$2,695.00",http://www.applebits.net/images/products/dt/xe/dtxempro.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_85&products_id=931&osCsid=ln2ee0u6u4t2csfu4728kofsc4,
Desktops,Desktops;MacPros;DTXEALG2666S,Mac Pro Xeon 6 Core/2.66Ghz (6 cores; E09/M10) BTO A1289[DTXEALG2666S],"Intel Xeon X5650 6 Core (6 per processor) with 12 MB of ""fully shared"" L3 cache per processor @ 2.66Ghz per processor--> Architecture is a true 64-bit machine, and turbo boost to 3.06Ghz!;4Gb RAM DDR3 PC3-10600 (1333Mhz) FB-DIMM (48Gb maximum);640Gb Serial-ATA hard drive (expansion bays up to 4 hard drives);Tray-loading Dual Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs (expansion bays up to 2 optical drives);NVIDIA GeForce GT 120 graphics card with 512MB DDR SDRAM; PCI Express 16-lane (1x dual-link DVI; 1x MiniDisplay Port);Audio in - 1x 3.5mm analog input jack; 1x optical S/PDIF (Toslink) input;Audio out - 2x 3.5mm analog output jacks; 1x optical S/PDIF (Toslink) output; 1x built-in speaker;2x built-in 10/100/1000BASE-T Gigabit Ethernet;Optional 802.11a/b/g/n AirPort Extreme wireless;Bluetooth 2.0 + EDR card;2x 4-lane PCIe 2.0 slots; 2x 16-lane PCIe 2.0 slots (PCIe = PCI Express);4x FireWire 800 ports (up to 800 Mbps);5x USB 2.0 ports (up to 480 Mbps);Model ID: A1289 (EMC 2314), BTO/Custom (MacPro5,1 firmware update);Apple description: Mac Pro (Early 2009) [codename Nehalem (Mac Pro) and Gulftown (processor)];Introduced: March 2009;Discontinued: --- This is a BTO or Build To Order computer and has no discontinued date","$1,595.00",http://www.applebits.net/images/products/dt/xe/dtxempro.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_85&products_id=842&osCsid=ln2ee0u6u4t2csfu4728kofsc4,
Desktops,Desktops;MacPros;DTXEM0G2666D,Mac Pro Xeon 6 Core/2.66Ghz Dual (12 cores; M10) BTO A1289[DTXEM0G2666D],"Intel Xeon X5650 6 Core (6 per processor) with 12 MB of ""fully shared"" L3 cache per processor @ 2.66Ghz per processor x2 = 12 cores total -- also known as a 12 core processor machine or 2x 6 Core machine;Architecture: 64 Bit;8Gb RAM DDR3 PC3-10600 (1333Mhz) ECC SDRAM (128Gb actual maximum);1Tb Serial-ATA hard drive (expansion bays up to 4 hard drives);Tray-loading Dual Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs (expansion bays up to 2 optical drives);ATI Radeon HD 5770 graphics card with 1GB GDDR5 SDRAM; PCI Express 16-lane (1x dual-link DVI; 2x MiniDisplay Port)-- Supports up to 3 displays on the one card!;Audio in - 1x 3.5mm analog input jack; 1x optical S/PDIF (Toslink) input;Audio out - 2x 3.5mm analog output jacks; 1x optical S/PDIF (Toslink) output; 1x built-in speaker;2x built-in 10/100/1000BASE-T Gigabit Ethernet;Built-in 802.11a/b/g/n AirPort Extreme wireless;Bluetooth 2.1 + EDR card;2x 4-lane PCIe 2.0 slots; 2x 16-lane PCIe 2.0 slots (PCIe = PCI Express);4x FireWire 800 ports (up to 800 Mbps);5x USB 2.0 ports (up to 480 Mbps);Model ID: A1289 (EMC 2314-2), BTO/Custom (MacPro5,1);Apple description: Mac Pro (Mid 2010) [codename Westmere];Introduced: July 2010;Discontinued: June 2012*;The below figures may vary and change according to the Geekbench website:-- Geekbench 2 (64 bit): 22605-- Geekbench 3 (32 bit): 22383-- Geekbench 3 (64 bit): 25131","$2,795.00",http://www.applebits.net/images/products/dt/xe/dtxempro.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_85&products_id=816&osCsid=ln2ee0u6u4t2csfu4728kofsc4,
Desktops,Desktops;MacPros;DTXEM0G3336D,Mac Pro Xeon 6 Core/3.33Ghz Dual (12 cores; M10) BTO A1289[DTXEM0G3336D],"Intel Xeon X5680 6 Core (6 per processor) with 12 MB of ""fully shared"" L3 cache per processor @ 3.33Ghz per processor x2 = 12 cores total -- also known as a 12 core processor machine or 2x 6 Core machine;Architecture: 64 Bit;8Gb RAM DDR3 PC3-10600 (1333Mhz) ECC SDRAM (128Gb actual maximum);1Tb Serial-ATA hard drive (expansion bays up to 4 hard drives);Tray-loading Dual Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs (expansion bays up to 2 optical drives);ATI Radeon HD 5770 graphics card with 1GB GDDR5 SDRAM; PCI Express 16-lane (1x dual-link DVI; 2x MiniDisplay Port)-- Supports up to 3 displays on the one card!;Audio in - 1x 3.5mm analog input jack; 1x optical S/PDIF (Toslink) input;Audio out - 2x 3.5mm analog output jacks; 1x optical S/PDIF (Toslink) output; 1x built-in speaker;2x built-in 10/100/1000BASE-T Gigabit Ethernet;Built-in 802.11a/b/g/n AirPort Extreme wireless;Bluetooth 2.1 + EDR card;2x 4-lane PCIe 2.0 slots; 2x 16-lane PCIe 2.0 slots (PCIe = PCI Express);4x FireWire 800 ports (up to 800 Mbps);5x USB 2.0 ports (up to 480 Mbps);Model ID: A1289 (EMC 2314-2), BTO/Custom (MacPro5,1);Apple description: Mac Pro (Mid 2010) [codename Westmere];Introduced: July 2010;Discontinued: June 2012*;The below figures may vary and change according to the Geekbench website:-- Geekbench 3 (64 bit): 30400","$3,895.00",http://www.applebits.net/images/products/dt/xe/dtxempro.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_85&products_id=861&osCsid=ln2ee0u6u4t2csfu4728kofsc4,
Desktops,Desktops;MacPros;DTXEALG3466S,Mac Pro Xeon 6 Core/3.46Ghz (6 cores; E09) BTO A1289[DTXEALG3466S],"Intel Xeon W3690 6 Core (6 per processor) with 12 MB of ""fully shared"" L3 cache per processor @ 3.46Ghz per processor--> Architecture is a true 64-bit machine, and this is the fastest single processor available and fastest possible Mac Pro aluminium tower model!;4Gb RAM DDR3 PC3-10600 (1333Mhz) FB-DIMM (48Gb maximum);640Gb Serial-ATA hard drive (expansion bays up to 4 hard drives);Tray-loading Dual Layer SuperDrive optical drive -- reads/writes/rewrites CDs and DVDs (expansion bays up to 2 optical drives);NVIDIA GeForce GT 120 graphics card with 512MB DDR SDRAM; PCI Express 16-lane (1x dual-link DVI; 1x MiniDisplay Port);Audio in - 1x 3.5mm analog input jack; 1x optical S/PDIF (Toslink) input;Audio out - 2x 3.5mm analog output jacks; 1x optical S/PDIF (Toslink) output; 1x built-in speaker;2x built-in 10/100/1000BASE-T Gigabit Ethernet;Optional 802.11a/b/g/n AirPort Extreme wireless;Bluetooth 2.0 + EDR card;2x 4-lane PCIe 2.0 slots; 2x 16-lane PCIe 2.0 slots (PCIe = PCI Express);4x FireWire 800 ports (up to 800 Mbps);5x USB 2.0 ports (up to 480 Mbps);Model ID: A1289 (EMC 2314), BTO/Custom (MacPro5,1 firmware update);Apple description: Mac Pro (Early 2009) [codename Nehalem (Mac Pro) and Gulftown (processor)];Introduced: March 2009;Discontinued: --- This is a BTO or Build To Order computer and has no discontinued date*;The below figures may vary and change according to the Geekbench website:-- Geekbench 2 (64 bit): 16050-- Geekbench 3 (32 bit): 14500-- Geekbench 3 (64 bit): 16250","$2,095.00",http://www.applebits.net/images/products/dt/xe/dtxempro.jpg,http://www.applebits.net/catalog/product_info.php?cPath=1_85&products_id=826&osCsid=ln2ee0u6u4t2csfu4728kofsc4,
